Parametric p-value,FDR,Geom mean of intensities in class 1,Geom mean of intensities in class 2,Fold-change(KD/C),UniqueID,Symbol
0.0139209,1,17.87,31.22,1.7543859649122808,ENSG00000005059,CCDC109B
0.0139573,1,1.11,1.87,1.6666666666666667,ENSG00000152192,POU4F1
0.0139664,1,1.04,1.77,1.6949152542372883,ENSG00000243849,WDR52-AS1
0.0139718,1,6.55,22.54,3.4482758620689657,ENSG00000106804,C5
0.0139751,1,1.06,2.07,1.9607843137254901,ENSG00000266900,RP11-173A16.2
0.0139848,1,93.74,48.29,0.5154639175257733,ENSG00000102471,NDFIP2
0.0139927,1,267.93,181.06,0.6756756756756757,ENSG00000180879,SSR4
0.0140225,1,12.41,6.21,0.5,ENSG00000177426,TGIF1
0.0140621,1,41.77,66.16,1.5873015873015872,ENSG00000135919,SERPINE2
0.0140822,1,130.08,192.6,1.4705882352941175,ENSG00000149212,SESN3
0.0141598,1,1.5,3.46,2.3255813953488373,ENSG00000254042,CTC-558O2.1
0.0142231,1,217.59,312.89,1.4285714285714286,ENSG00000041357,PSMA4
0.0142368,1,509.21,316.67,0.6211180124223602,ENSG00000205420,KRT6A
0.0142373,1,12.52,5.39,0.4310344827586207,ENSG00000204619,PPP1R11
0.0142413,1,461.41,355.94,0.7692307692307692,ENSG00000111669,TPI1
0.0142429,1,38.77,77.1,2.0,ENSG00000113441,LNPEP
0.0143411,1,7.85,3.29,0.42016806722689076,ENSG00000102218,RP2
0.0144392,1,54.76,72.75,1.3333333333333333,ENSG00000198646,NCOA6
0.014464,1,1.24,3.15,2.564102564102564,ENSG00000152503,TRIM36
0.0144674,1,8.71,3.79,0.4347826086956522,ENSG00000152669,CCNO
0.0144748,1,54.03,37.6,0.6944444444444444,ENSG00000132823,OSER1
0.0144971,1,15.54,37.56,2.4390243902439024,ENSG00000126870,WDR60
0.0145274,1,106.01,70.25,0.6622516556291391,ENSG00000125912,NCLN
0.0145549,1,1.02,1.22,1.2048192771084338,ENSG00000037280,FLT4
0.0145549,1,1.02,1.22,1.2048192771084338,ENSG00000272668,RP11-190A12.8
0.0145777,1,1.2,2.6,2.1739130434782608,ENSG00000229267,AC072062.1
0.0146112,1,1.05,1.78,1.6949152542372883,ENSG00000271888,RP11-560J1.2
0.0147209,1,386.33,300.4,0.7751937984496123,ENSG00000135046,ANXA1
0.0147947,1,56.36,25.3,0.4484304932735426,ENSG00000133985,TTC9
0.0148172,1,7.67,3.89,0.5076142131979695,ENSG00000185483,ROR1
0.0148789,1,158.04,238.62,1.5151515151515151,ENSG00000146648,EGFR
0.0148793,1,7.36,17.66,2.380952380952381,ENSG00000152495,CAMK4
0.0149157,1,301.07,213.19,0.7092198581560284,ENSG00000073792,IGF2BP2
